replies,score
"[{""comment_1"":""That’s great. I hope it continues to work so well for you!"",""comment_2"":""I just took my first dose a few days ago so I appreciate you posting this!""}]",23
"[{""comment_1"":""As a nurse, Im sure this is info youre well aware of so please dont take this as condescension or anything, but when I was taking the emgality it was like night and day in the thigh vs the belly. Not sure where youre injecting but if you havent done the belly, give it a try. Thigh hurt like crazy and reacted, belly was just mildly uncomfortable at worst for me."",""comment_2"":""It hurts like a bitch! I HATE doing the shot, but I love the relief it gives me. My husband always has to hold my hand and I always scream and he says, it clicked, its over."",""comment_3"":""It’s legitimately so painful. The pre-injection dread was intense enough that I was debating whether to continue. I thankfully found this sub! I now use numbing cream and ice for ~30 min. Then my partner gives me the injection in my butt instead of me self-administering in my thigh. It’s so much easier. I’ve only heard positive things about injecting in the stomach, but I’ve been too scared to try as of yet. Thank you for adding your voice! Finding this sub \u0026 having others validate my experience is the main reason I’m still able to use Emgality."",""comment_4"":""TEAM BELLY.After nearly 2 years of crying every month, I worked up the courage to shoot up my belly. No pain!Why o why did I wait so long  :("",""comment_5"":""I found that when i injected in my stomach, the pain lasted for 3 months .The day after i could not move! The injection itself was not bad but the after pain was brutal! Luckily I have been remote and could avoid real pants hitting it. I get routine blood work monthly and dont even flinch but now i do it in the back of my arm and the immediate pain is just sooo bad! Not too bad after though"",""comment_6"":""Ughhh, it really fucking hurts. I leave mine out at room temperature for an hour or two and use ice before injecting and that at least helps with the initial sting. It gets really sore though so theres nothing Ive found that helps with that :("",""comment_7"":""It’s so weird, cause Emgality doesn’t hurt at all for me. While Aimovig hurt a lot."",""comment_8"":""I read somewhere that icing the spot before you inject makes a huge difference, so I decided to try it myself and it makes a difference, it still hurts but not as bad. I also inject it into my tummy, Im more petite, so the stomach is about the only place I have a decent amount of fat."",""comment_9"":""Belly is easier. I also would ice the area for a minute prior to injection."",""comment_10"":""I feel for everyone having so much pain with these injections. I hope you find a way to make it hurt less. I let my autoinjector sit out for a few hours and inject into my belly, where theres a considerable amount of body fat. I have to say it usually hurts less than the Aimovig did, so Im among the minority here.Fingers crossed for you all!"",""comment_11"":""Just here for the commiseration. A few weeks ago I had botox, a shot of toradol, my first COVID vaccine, and my Aimovig injection all within five days (unfortunate timing). The aimovig was by far the most painful. Ive been doing it in my thigh for 6+ months but am going to switch back to my stomach this month. I have less fat there, but also less muscle, so hopefully it helps!"",""comment_12"":""Wow, we are like identical meds twins! Except I take rizatriptan. I just started Emgality this month, and I agree, the pain took my breathe away! I wasn’t really even that scared, but my god! I will be next month. I will try the belly though, I did thighs (both, since it was my loading dose.)I’m 2 weeks in and haven’t had a SINGLE MIGRAINE. I’m so scared I’m going to jinx myself or this is some weird freak fluke because Botox didn’t work for me at all, and idk it just seems too good to be true that I’d be a “super responder” but I’m just holding out hope that maybe this could be the life changing thing I’ve been looking for, for so many years (decades at this point!)"",""comment_13"":""emgality was so painful i was having anxiety attacks and would have to talk myself into the shot.  my dr switched me to ajovy.  still hurts, but nothing compared to emgality."",""comment_14"":""Belly is much better!  I inject on my side between hip bone and ribs. Key is grabbing skinfat and holding away from your body so you don’t hit muscle. I got my loading dose straight into my butt cheek. Thought I would die!  No way I could do this. I think the thigh would be the same. Next time they injected in my belly and it was nothing—like a finger stick. Last month was first time doing my own. Did the other side of my belly. It was a breeze!"",""comment_15"":""The syringe hurts less than the pen since you can control how fast it goes in. And as other folks have said, belly hurts less than thigh"",""comment_16"":""I went in about 10 days ago for y first injections. The nurse did the first one and I did the second one. Im very skinny, so the nurse and I had trouble pinching enough fat on my stomach but we got it. I have to say that it didnt hurt very much. Sure, it was uncomfortable but not nearly as bad as I thought."",""comment_17"":""I changed from the thigh to the butt—much better!! I’m"",""comment_18"":""has anyone with very little body fat mustered up the balls to do belly?  Im so scared!  thigh so far has been the least painful for me, and i found out this month that if i have some adrenaline running thru my veins it hurts WAY less.  When they switched me to ajovy from emgality i had a panic attack and was so worked up and scared that ajovy would hurt more, that when my husband finally got me calmed down enough we did it in my upper thigh and ZERO pain.  This month I was all confident that it wouldnt hurt and just did it, it hurt... not as bad as emgality but bad enough.  Everyone says team belly is where its at, but im so thin and no fat on my tummy. :("",""comment_19"":""Just got to my second month and when trying to administer, I jerked my hand from the pain and ended up with no medication entering my body. Im so pissed. I hate this. I feel like it was helping, so Im even more angry. Its just so painful that it nearly made me vomit and pass out, and I dont have enough fat anywhere else that I can easily reach myself, so into my thigh or nothing. Im not at home and my insurance wont pay for me to get any medication filled outside the state, so Im extra screwed. I cant even describe how much I hate this!""}]",24
"[{""comment_1"":""Yes. This is what happened to me. Each of the 3 meds was awesome for 2-3 months and then completely stopped working. Ive never been so frustrated in my life."",""comment_2"":""Yeah. I still take it because it helps more than nothing, but nothing has compared to the first 3 mos on it. Am curious to see if there is a future explanation for the short term success. Seems like a complaint from a lot of people."",""comment_3"":""Had this experience with Aimovig, it was amazing for about 8 months and then just stopped. Then went to Emgality which didn’t do enough for my insurance to keep covering it after about 6 months and it was so painful to inject I asked my doctor if we could stop. Have now done 3 rounds of Botox and it definitely DOES seem to be helping, although it takes a while (at least two rounds) to really know if it will help you. I had my last Emgality injection in early November, had four migraines in December (compared to 9 in November). Good luck!!!"",""comment_4"":""Reading these scares me that it might stop working for me too. I really hope it doesnt.Also really sorry to read that it stopped helping you."",""comment_5"":""Emgality worked amazing for 2 months, then about 3 out of 4 weeks for a few months and now about 2 weeks out of the month. I just had 10 days of continuous migraine and took my emgality dose a day early because I just couldnt take it anymore. 3 days later and Im back to my baseline of 110 pain with other related symptoms that never go away. When it is working it is great but I think when it is wearing off (only after 2 weeks now) my migraines seem to be almost debilitating while awaiting the next injection. Im pretty bummed about it."",""comment_6"":""I used Ajovy on and off for about a year. It totally stopped working for me, and after I stopped taking it I felt horrible for about a month. I’m back to just using acute treatment, the preventative treatment caused too many side effects for me."",""comment_7"":""Yeah, ajovy and aimovig worked for 2-3 then completely stopped working for me, though aimovig was more effective initially than ajovy was. Botox has helped a lot with shooting pain through my head and face,  Im still having migraines daily though and it hasnt helped with hypersensitivity at all. Hopefully you have better luck with botox!"",""comment_8"":""I had a similar problem with Aimovig. The side effects were awful joint pain among others. No more CGRP meds for me. I use botox, while its not a cure all and takes time to kick in its the most beneficial treatment Ive found so far."",""comment_9"":""Ajovy works great for me most of the time.  Occasionally I have a month or two where my migraines increase and I think its not working anymore.  But then it starts working again."",""comment_10"":""The immune system can create antibodies to biologicals.""}]",16
"[{""comment_1"":""For emgality I think you can order a sharps container from Eli Lilly.  Alternatively you can use an old laundry detergent container and just take out the “spout” part. That’s what I did and so far I have five in there. Also I feel validated that Emgality hurts the most. It justifies my excessive cursing lol"",""comment_2"":""Ajovy has been a godsend to me the last year and a half!!"",""comment_3"":""Emgality worked better for me than aimovig and I have been on it now for 16 injections, since last may. Now I take it 25 days apart to try to knock out that wearing off period. So far, so good!I also take ubrelvy as a cgrp abortive which has been working pretty well."",""comment_4"":""Thank you for sharing this!"",""comment_5"":""Yes, thank you for sharing.Im on amitriptyline now, and first Botox if scheduled for October.Then on to injections if Botox doesnt work."",""comment_6"":""What dose of aimovig did you try? Im experiencing the same issues with it wearing off, but I want to know what dose you used.  Im wanting to try the other injectables, but Im so exhausted from trying so many medications.  This post is really helpful.  Thank you.."",""comment_7"":""I had the wearing off of aimovig so my doctor bumped me up to the 140 dose. Still have a few days of break through. I would be interested to hear if anyone has had side effects of aimovig"",""comment_8"":""My first two months with Emgality were great.  That loading dose was just what I needed.  The 6 months after that were meh...the shot would last about a week and then Id be back to near daily migraines.Just took my first Aimovig shot yesterday, so we shall see how that goes.As far as the pain...I havent really noticed it so much.  It certainly isnt the worst pain that I feel on any random day."",""comment_9"":""I just started Ajovy. Hoping for good things but the inj was horrible for me. I almost passed out.  I like the Aimovig inj better but the drug completely tore up my stomach."",""comment_10"":""Rub ice on your injection location just before using it.  The slight numbing should take care of mostall of the pain.  Ive had no issues with Emgality since starting that."",""comment_11"":""What have you noticed side effects wise between the three medications?"",""comment_12"":""I haven’t had any serious pain with Emgality. Only thing I have noticed (specifically from this subreddit) is a lot of people injecting it into their thighs. Maybe it’s just because I’ve got space for it but I always do my injections in my stomach a couple inches to either side of my navel. Had a couple that kind of hurt while injecting but no pain after it was done. That’s been about it. For the sharps issue I just put that triangular cap back on and throw the whole auto injector away. Never really been a concern."",""comment_13"":""I’m so glad you mentioned that Aimovig’s autoinjector is difficult to use. I struggled with those! It legitimately took two, sometimes three people to get those to fire for me. That, plus the early breakthrough at the end of the month and the constipation...I switched to Ajovy and it’s been SO much better. I even do the syringe for Ajovy (to avoid autoinjector issues) and it’s been completely painless, no bleeding either as you mentioned. The syringe still wigs me out sometimes but I pull through it. My migraines are extremely well controlled with ajovy and my migrainedopamax brain fog has cleared up substantially from ajovy as well. I saw a noticeable improvement in brain fog and reduced migraine days with Aimovig but ajovy just polished it up. I didn’t realize I was still experiencing symptoms (like general photosensitivity) while on Aimovig until ajovy improved things further."",""comment_14"":""This would be my third CGRP injectable too. I did them in the order of Aimovig, Ajovy and then emgality now. With the first two, since I am only one day post emgality shot now, my migraines did seem to resolve completely but it could have been the combination of injection and oral medication, aptiom. Aimovig caused me to have severe constipation that was just too much for me. I have ibs-d and thought to myself that it would even out the constipation side effect and boy was I wrong. Next I tried Ajovy. This one seemed to have even worse gastrointestinal side effects for me! The night I got the shot in my neurologist’s office I had what I thought was food poisoning, severe vomiting all night. I didn’t have diarrhea which I thought was strange and atypical of me for food poisoning but did not know any better at the time. I had to call off work that day which was embarrassing enough. After the initial bout of “food poisoning” I was left with severe nausea and was unable to eat anything for over 2 weeks. I was so nauseous the thought of food made me think I was going to vomit. After the two weeks I was able to eat one tiny meal a day. I lost almost 10 pounds in a month because I barely ate. I brought this up to my neurologist who immediately decided that we need to stop the medication for a month to see if my symptoms resolved once the Ajovy was out of my system. I waited and thankfully after a little over a month of having it in my system I was able to eat again. I still can only eat about half of what I used to which is helping with the needed weight loss but is still kind of scary. My neurologist then told me to make a report to the FDA about these side effects. I did do some research and found that the iv version of these meds did have severe nausea as a side effect but was shocked that the injections did not! Last night, after doing the emgality loading dose and first dose as instructed I started experiencing what I thought was a drysore throat on the right side. I thought to myself that it was just from a tonsil stone falling out that I knew happened recently on that side. I woke up this morning to both sides of my throat doing that. I’ve heard from other people that sore throat is a side effect but I am only one day into the injection and don’t want to jump to conclusions. I am just very discouraged because I have tried everything for these migraines; triptans, blood pressure meds, anti depressants, Botox, CGRP inhibitors, anti seizure medications, nerve block medications and even brain surgery, although for another reason but they thought I would have less migraines. Nothing works. I should rephrase that, either it works for a couple months and then stops working or the side effects are so unbearable that I stop. I’ve gained weight, lost hair, had numbness and tingling on one side of my body, lost weight, had gastrointestinal issues and all sorts of other nasty side effects. I am just done and don’t know where to go or if anything will help me. The only thing that seemed to work was the steroid, decadron, that they put me on post brain surgery to prevent swelling and even that had to be tapered faster than they wanted because of side effects. People thought I was going through menopause. I was so hot it was like a fire was burning inside of me 247 and nothing could put it out. I was uncomfortable and could not focus on anything and silly me for thinking I could take a chemistry class over the summer 4 days post brain surgery but I still managed to pass. The insomnia was horrible I didn’t sleep for days. But through all of that, I didn’t have a migraine at least. I know it takes a toll on those around me and not just myself so I try different things not only for me but so I don’t become a burden to those around me constantly caring for me during my frequent migraine attacks. Medication wise, my neurologists are out of ideas, they hit me with every top of the line drug they could and it wasn’t enough. Their only suggestions are acupuncture, nerve blocking shots or butterbur.""}]",56
"[{""comment_1"":""So hopeful for you! Ive been on it twice with a pregnancy break in between, and its been a lifesaver both times. I was just telling my husband today that the last time I took an imitrex was January 8. This is my longest streak yet!"",""comment_2"":""Fingers crossed for you!"",""comment_3"":""My last injection I did higher up on my thigh and it wasn’t nearly as painful. I’m glad you had a good experience and I hope the med works well for you!"",""comment_4"":""I had the same experience a few months ago. It was the best experience.Hope it all works out for you."",""comment_5"":""Best of luck! I had the same experience with my first two (loading dose) of Emgality. So far so good. Three weeks with no migraine so far yet! Im hoping it continues like this!""}]",18
"[{""comment_1"":""uneuronet, would this be appropriate as a stickyannouncement on the sub? Having this info readily available will likely be helpful for some users.uappleorange12, thank you for putting this together! 100% it is good to get as much data on side effects as possible."",""comment_2"":""Are people having a lot of side effects?"",""comment_3"":""For me it interfered w my ketamine depression treatment but i dont see how to put that on their survey"",""comment_4"":""The site is horrible. They dont make it easy to report"",""comment_5"":""Should you report side effects that are already listed or only ones that are not listed?""}]",22
"[{""comment_1"":""7days prior migraines get worse. Continue to get worse till +2days after shot"",""comment_2"":""Yes. I’m on month 7 and it has improved. But it was hard to wait 28 days when the symptoms came back, especially since the injection clears my daily headaches and nerve neuralgia so quickly."",""comment_3"":""Yeah the last week before the next dose was always worse then average for me."",""comment_4"":""Yes. I’m supposed to inject on Monday and I’m headachy and dizzy right now."",""comment_5"":""Yup! My only complaint. Not sure what you are on but I was starts on 70mg (1 shot) a month.I started to notice breakthrough headaches. Not as bad as my migraines but still not the best. I knew the clinical trials were done at the higher dose so I asked my doctor if I could try 140mg (2 shots)  month.I’ve definitely noticed a difference. My pharmacy screwed up my Rx by “accident” (I put in quotes bc this happens often). Anyway I was only dispense one shot, and they refused to give me the second half of Rx.I definitely noticed a difference. I was getting chronically ill more, had more headaches that were of a more severe intensity in MONTHS. I didn’t know what to do.Thankfully they dispenser next month’s early so I may give myself my second shot + deal with the shortage next month."",""comment_6"":""Yes- I switched to 140 mg and its been 4 months and that has diminished significantly."",""comment_7"":""Yeup, this happened to me every month, when the dose is probably the least amount in my system, the migraines start popping up again, until I get the new injection.Saw my migraine specialist after being on Aimovig for months (since February 2019), so she started overlapping my next injection just a bit, so less chance of the migraines setting in. This is the first month in a long time that Ive actually had migraines mid-dose. Im in SW Missouri area and weve had some crazy weather recently - I usually have barometric pressure migraines. But even those migrianes are very light and more annoying than anything, but my medication (Maxalt) works faster than it used to, knocking them out."",""comment_8"":""I noticed that when taking aimovig.  After I switched to ajovy I only noticed it wearing off when the end of the month was syncing up with my time of the month.  I took my shot two days early two months in a row to move the date I was due for the shot before my period and I havent noticed it wearing off since.  Ajovy is working way better for me than aimovig was."",""comment_9"":""Yes!  The last 3 days or so before my next shot, which I take every 28 days.""}]",19
"[{""comment_1"":""Im very happy to hear that Emgality is available in Canada now.  You might consider that Aimovig caused your depression; it did in me.  I will be discussing Emgality with my neurologist."",""comment_2"":""Good to know! Please report back after your first month. Aimovig also seems to be working less and less for me. It was a miracle at first though"",""comment_3"":""I also just got prescribed Emagality in Southern Ontario. It has been in Canada for about a month now and people have seen good results! I hope everything goes well for you.   I encountered a lot of problems with my neurologist about getting it prescribed due to having migraines that like cluster headaches without autonomic features. She initially did not want to prescribe it due to being unable to put me on the patient assistance program, so I am paying out of pocket for it."",""comment_4"":""Hey just a question... I cant seem to find it anywhere!  Where is the cost of Emagality for Canadians?   The cost in US is ^603.60 per 120mg per month.  No one will answer what the cost there is?   Any help would be greatly appreciated.""}]",20
"[{""comment_1"":""I am with you, I was getting 15 or more a month and the 70mg cut that way back (1 a week maybe less).  But the 140mg has made it one migraine every 45-60 days.  Migraine Buddy was an app I opened every few days but just took a look and have not used it in 19 days.  The only side effect I have is vivid dreams and that has never bothered me.  If you are on the fence and worried about side effects, give it a try it may give you your life back too."",""comment_2"":""Im so happy to hear its working for you! Ive been on it since February, first few months at the 70 and then they werent working as well, so we moved me to the 140 and the only time I seem to get migraines is right before the next injection (or really bad stress happening).   I wish I could get my Mom talked into trying it, since the migraines are hereditary on her side of the family and Ive had such good luck with it. My Mom wanted to do the Botox instead, but I was a guinea pig for that about 20 years ago and didnt have any luck with it. I told her the only thing I got with the Botox injections was that people could never tell I was surprised for about 6 months..."",""comment_3"":""Happy you have found some relief :)"",""comment_4"":""So happy for you that you found relief."",""comment_5"":""Congratulations! I’m so happy for you. I’ve had a similar experience and it’s changed my life for the better."",""comment_6"":""Samesies. Im 40 and cant remember a time in my life when I didnt have migraines. I have been on dozens of drugs and drug combinations, to no avail or to only knock them down somewhat. I tried Aimovig in February of this year (i think it was February) and noticed a dramatic improvement, but for only about 3 weeks out of the month. Even at the 140mg dose, I had this same problem. Switching to Emgality made all the difference. I went 25 days without a headache until this last Monday because of Emgality.""}]",27
"[{""comment_1"":""As I said in your other thread, immunogenicity is really the ability of a drug to induce an immune reaction to itself - that is, for the body to recognize it as foreign and mount a response including production of drug-specific antibodies, similar to how your body recognizes a regular pathogen (such as bacteria or virus) and responds to it. Immunogenicity is usually not used to refer to a drug having immune-modulatory effects, though obviously as you’re seeing that can happen. I’m not doubting what you are going through AT ALL, just trying to clarify some terminology. And yes, while we get a decent look at side effects during clinical trials, the patients enrolled are a limited demographic and don’t have nearly the span of medications and other health conditions that many of the rest of us mix with these new drugs. So, seeing new side effect profiles is not super unusual, and is why post-approval safety studies are done to monitor this. I’m glad to see that your physician will be reporting your experience.""}]",19
